Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
"(2,)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8421436708654755"
"(2,)","{3: 1, 4: 2}",{},"0,8510030160719451"
"(2,)","{3: 1, 4: 2}",{3: 0},"0,8446062377520178"
"(2,)","{3: 1, 4: 2}",{4: 1},"0,8082509786171113"
"(2,)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8478290259021156"
"(2,)","{2: 0, 3: 1, 4: 2}",{},"0,8455837761100921"
"(2,)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8028499820981024"
"(2,)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,796119436119436"
"(2,)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8645962732919255"
"(3,)",{},{},"0,42221999399481486"
"(3,)",{},{3: 0},"0,8464655427388346"
"(3,)",{},{4: 1},"0,8162004662004663"
"(3,)",{},"{3: 0, 4: 1}","0,8526043489037932"
"(3,)",{2: 0},{},"0,847720085297725"
"(3,)",{2: 0},{3: 0},"0,849782698504503"
"(3,)",{2: 0},{4: 1},"0,8305644069822545"
"(3,)",{2: 0},"{3: 0, 4: 1}","0,8160309865573023"
"(3,)",{3: 1},{},"0,7849738955002115"
"(3,)",{3: 1},{3: 0},"0,8500658761528327"
"(3,)",{3: 1},{4: 1},"0,8081580074061278"
"(3,)",{3: 1},"{3: 0, 4: 1}","0,7992888064316637"
"(3,)",{4: 2},{},"0,7853016379332168"
"(3,)",{4: 2},{3: 0},"0,7930129672006102"
"(3,)",{4: 2},{4: 1},"0,8172518959737005"
"(3,)",{4: 2},"{3: 0, 4: 1}","0,8603325652413112"
"(3,)","{2: 0, 3: 1}",{},"0,8324926201617932"
"(3,)","{2: 0, 3: 1}",{3: 0},"0,8321936209154254"
"(3,)","{2: 0, 3: 1}",{4: 1},"0,844945155095531"
"(3,)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8236008711785109"
"(3,)","{2: 0, 4: 2}",{},"0,8399215070643643"
"(3,)","{2: 0, 4: 2}",{3: 0},"0,8528814275155738"
"(3,)","{2: 0, 4: 2}",{4: 1},"0,7913722476716919"
"(3,)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,7938986160038792"
"(3,)","{3: 1, 4: 2}",{},"0,8956702717572284"
"(3,)","{3: 1, 4: 2}",{3: 0},"0,8433869639132797"
"(3,)","{3: 1, 4: 2}",{4: 1},"0,8209557490564355"
"(3,)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8612009627799101"
"(3,)","{2: 0, 3: 1, 4: 2}",{},"0,8398863858164284"
"(3,)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8084978930843593"
"(3,)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8463587540279269"
"(3,)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8195936568607376"
"(4,)",{},{},"0,8075842818699961"
"(4,)",{},{3: 0},"0,8057865442827848"
"(4,)",{},{4: 1},"0,8325819489435051"
"(4,)",{},"{3: 0, 4: 1}","0,8524760517895531"
"(4,)",{2: 0},{},"0,8222894899586628"
"(4,)",{2: 0},{3: 0},"0,8426618309227006"
