Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
(),{6: 4},"{5: 2, 6: 3}","0,7680870287688142"
(),{6: 4},"{3: 0, 4: 1, 5: 2}","0,7509538080966652"
(),{6: 4},"{3: 0, 4: 1, 6: 3}","0,7380952380952381"
(),{6: 4},"{3: 0, 5: 2, 6: 3}","0,8406219177647749"
(),{6: 4},"{4: 1, 5: 2, 6: 3}","0,7916041673586431"
(),{6: 4},"{3: 0, 4: 1, 5: 2, 6: 3}","0,832051670678673"
(),"{2: 0, 3: 1}",{},"0,739142942971709"
(),"{2: 0, 3: 1}",{3: 0},"0,7290522452013135"
(),"{2: 0, 3: 1}",{4: 1},"0,7042745669696451"
(),"{2: 0, 3: 1}",{5: 2},"0,8406562991329255"
(),"{2: 0, 3: 1}",{6: 3},"0,7787061569495835"
(),"{2: 0, 3: 1}","{3: 0, 4: 1}","0,7731027518826176"
(),"{2: 0, 3: 1}","{3: 0, 5: 2}","0,806854256854257"
(),"{2: 0, 3: 1}","{3: 0, 6: 3}","0,8293135435992578"
(),"{2: 0, 3: 1}","{4: 1, 5: 2}","0,7346616868378986"
(),"{2: 0, 3: 1}","{4: 1, 6: 3}","0,7953494124922695"
(),"{2: 0, 3: 1}","{5: 2, 6: 3}","0,7037373333666391"
(),"{2: 0, 3: 1}","{3: 0, 4: 1, 5: 2}","0,813600597688725"
(),"{2: 0, 3: 1}","{3: 0, 4: 1, 6: 3}","0,8476263232565754"
(),"{2: 0, 3: 1}","{3: 0, 5: 2, 6: 3}","0,817686073325171"
(),"{2: 0, 3: 1}","{4: 1, 5: 2, 6: 3}","0,7440626777026599"
(),"{2: 0, 3: 1}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8286708395732875"
(),"{2: 0, 4: 2}",{},"0,6694479265907837"
(),"{2: 0, 4: 2}",{3: 0},"0,7550467076782866"
(),"{2: 0, 4: 2}",{4: 1},"0,7179553280461243"
(),"{2: 0, 4: 2}",{5: 2},"0,8454377702498004"
(),"{2: 0, 4: 2}",{6: 3},"0,8029485453855202"
(),"{2: 0, 4: 2}","{3: 0, 4: 1}","0,715261096464104"
(),"{2: 0, 4: 2}","{3: 0, 5: 2}","0,7946619943523968"
(),"{2: 0, 4: 2}","{3: 0, 6: 3}","0,807712365002329"
(),"{2: 0, 4: 2}","{4: 1, 5: 2}","0,7629226227624397"
(),"{2: 0, 4: 2}","{4: 1, 6: 3}","0,7334884819613884"
(),"{2: 0, 4: 2}","{5: 2, 6: 3}","0,684790736791707"
(),"{2: 0, 4: 2}","{3: 0, 4: 1, 5: 2}","0,7652665993083451"
(),"{2: 0, 4: 2}","{3: 0, 4: 1, 6: 3}","0,7208164523953997"
(),"{2: 0, 4: 2}","{3: 0, 5: 2, 6: 3}","0,8237943343206501"
(),"{2: 0, 4: 2}","{4: 1, 5: 2, 6: 3}","0,8032276203328835"
(),"{2: 0, 4: 2}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8008165579594151"
(),"{2: 0, 5: 3}",{},"0,6907850866413601"
(),"{2: 0, 5: 3}",{3: 0},"0,8463931699737327"
(),"{2: 0, 5: 3}",{4: 1},"0,7339814181919444"
(),"{2: 0, 5: 3}",{5: 2},"0,7110847485847486"
(),"{2: 0, 5: 3}",{6: 3},"0,784256903468726"
(),"{2: 0, 5: 3}","{3: 0, 4: 1}","0,8241776192465482"
(),"{2: 0, 5: 3}","{3: 0, 5: 2}","0,810931549653354"
(),"{2: 0, 5: 3}","{3: 0, 6: 3}","0,7715095820358978"
(),"{2: 0, 5: 3}","{4: 1, 5: 2}","0,7805751381369973"
(),"{2: 0, 5: 3}","{4: 1, 6: 3}","0,7145533247037006"
(),"{2: 0, 5: 3}","{5: 2, 6: 3}","0,7794368414217269"
(),"{2: 0, 5: 3}","{3: 0, 4: 1, 5: 2}","0,7374962667288854"
(),"{2: 0, 5: 3}","{3: 0, 4: 1, 6: 3}","0,8202149817056649"
(),"{2: 0, 5: 3}","{3: 0, 5: 2, 6: 3}","0,8242272347535506"
(),"{2: 0, 5: 3}","{4: 1, 5: 2, 6: 3}","0,8002806412417397"
(),"{2: 0, 5: 3}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8555355780756239"
(),"{2: 0, 6: 4}",{},"0,7513277940697296"
(),"{2: 0, 6: 4}",{3: 0},"0,732744559812229"
(),"{2: 0, 6: 4}",{4: 1},"0,8204906204906205"
(),"{2: 0, 6: 4}",{5: 2},"0,8116214759735325"
(),"{2: 0, 6: 4}",{6: 3},"0,7612583656944559"
(),"{2: 0, 6: 4}","{3: 0, 4: 1}","0,8398690681299377"
(),"{2: 0, 6: 4}","{3: 0, 5: 2}","0,8132128740824394"
(),"{2: 0, 6: 4}","{3: 0, 6: 3}","0,8267239857500499"
(),"{2: 0, 6: 4}","{4: 1, 5: 2}","0,8276241331670603"
(),"{2: 0, 6: 4}","{4: 1, 6: 3}","0,7783670289369174"
(),"{2: 0, 6: 4}","{5: 2, 6: 3}","0,6759421266062632"
(),"{2: 0, 6: 4}","{3: 0, 4: 1, 5: 2}","0,7737940393548725"
(),"{2: 0, 6: 4}","{3: 0, 4: 1, 6: 3}","0,760455901658909"
(),"{2: 0, 6: 4}","{3: 0, 5: 2, 6: 3}","0,8801919011221339"
(),"{2: 0, 6: 4}","{4: 1, 5: 2, 6: 3}","0,8072299281844886"
(),"{2: 0, 6: 4}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8072619719824689"
(),"{3: 1, 4: 2}",{},"0,7663384484228475"
(),"{3: 1, 4: 2}",{3: 0},"0,7264207118253999"
(),"{3: 1, 4: 2}",{4: 1},"0,7536824536941289"
(),"{3: 1, 4: 2}",{5: 2},"0,6959452610740718"
(),"{3: 1, 4: 2}",{6: 3},"0,7839783405000796"
(),"{3: 1, 4: 2}","{3: 0, 4: 1}","0,7095988545039561"
(),"{3: 1, 4: 2}","{3: 0, 5: 2}","0,756137819295714"
(),"{3: 1, 4: 2}","{3: 0, 6: 3}","0,8256854256854257"
(),"{3: 1, 4: 2}","{4: 1, 5: 2}","0,7057815066580357"
(),"{3: 1, 4: 2}","{4: 1, 6: 3}","0,8167504683032634"
(),"{3: 1, 4: 2}","{5: 2, 6: 3}","0,7992680592680591"
(),"{3: 1, 4: 2}","{3: 0, 4: 1, 5: 2}","0,682797033534553"
(),"{3: 1, 4: 2}","{3: 0, 4: 1, 6: 3}","0,8085402901192376"
(),"{3: 1, 4: 2}","{3: 0, 5: 2, 6: 3}","0,7684623647029661"
(),"{3: 1, 4: 2}","{4: 1, 5: 2, 6: 3}","0,7814205721814417"
(),"{3: 1, 4: 2}","{3: 0, 4: 1, 5: 2, 6: 3}","0,843781659116736"
(),"{3: 1, 5: 3}",{},"0,8337155598025163"
(),"{3: 1, 5: 3}",{3: 0},"0,824093336107066"
(),"{3: 1, 5: 3}",{4: 1},"0,7928475033738192"
(),"{3: 1, 5: 3}",{5: 2},"0,7284893312163575"
(),"{3: 1, 5: 3}",{6: 3},"0,7743979567261474"
(),"{3: 1, 5: 3}","{3: 0, 4: 1}","0,8363941599747227"
(),"{3: 1, 5: 3}","{3: 0, 5: 2}","0,8512072388764118"
(),"{3: 1, 5: 3}","{3: 0, 6: 3}","0,8355051805741096"
(),"{3: 1, 5: 3}","{4: 1, 5: 2}","0,7906328875503731"
(),"{3: 1, 5: 3}","{4: 1, 6: 3}","0,7079835186106963"
(),"{3: 1, 5: 3}","{5: 2, 6: 3}","0,8346333365882239"
(),"{3: 1, 5: 3}","{3: 0, 4: 1, 5: 2}","0,7792182696530523"
(),"{3: 1, 5: 3}","{3: 0, 4: 1, 6: 3}","0,8142857142857143"
(),"{3: 1, 5: 3}","{3: 0, 5: 2, 6: 3}","0,8189940494288319"
(),"{3: 1, 5: 3}","{4: 1, 5: 2, 6: 3}","0,7749788883707988"
(),"{3: 1, 5: 3}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8274070649847047"
(),"{3: 1, 6: 4}",{},"0,800533525760386"
(),"{3: 1, 6: 4}",{3: 0},"0,7838298612292421"
(),"{3: 1, 6: 4}",{4: 1},"0,8135784265859455"
(),"{3: 1, 6: 4}",{5: 2},"0,8323334498489778"
(),"{3: 1, 6: 4}",{6: 3},"0,7995439259891087"
(),"{3: 1, 6: 4}","{3: 0, 4: 1}","0,7247846710726255"
(),"{3: 1, 6: 4}","{3: 0, 5: 2}","0,6398138087750104"
(),"{3: 1, 6: 4}","{3: 0, 6: 3}","0,8086180536981453"
(),"{3: 1, 6: 4}","{4: 1, 5: 2}","0,7637237967287228"
(),"{3: 1, 6: 4}","{4: 1, 6: 3}","0,8258985941594638"
(),"{3: 1, 6: 4}","{5: 2, 6: 3}","0,828743961352657"
(),"{3: 1, 6: 4}","{3: 0, 4: 1, 5: 2}","0,7644037651358184"
(),"{3: 1, 6: 4}","{3: 0, 4: 1, 6: 3}","0,8475881261595547"
(),"{3: 1, 6: 4}","{3: 0, 5: 2, 6: 3}","0,7143329565565816"
