Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
(),{},{},"0,4548302163509536"
(),{},{3: 0},"0,7391292318883035"
(),{},{4: 1},"0,7521173101836717"
(),{},{5: 2},"0,7558785130213702"
(),{},{6: 3},"0,7120954240759364"
(),{},"{3: 0, 4: 1}","0,22731471427123603"
(),{},"{3: 0, 5: 2}","0,7370521541950114"
(),{},"{3: 0, 6: 3}","0,854649527795308"
(),{},"{4: 1, 5: 2}","0,6993858854323971"
(),{},"{4: 1, 6: 3}","0,8131091243663372"
(),{},"{5: 2, 6: 3}","0,7567071974740669"
(),{},"{3: 0, 4: 1, 5: 2}","0,7827513447650747"
(),{},"{3: 0, 4: 1, 6: 3}","0,8462430323299889"
(),{},"{3: 0, 5: 2, 6: 3}","0,8129642338337989"
(),{},"{4: 1, 5: 2, 6: 3}","0,7114416184510776"
(),{},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8156497849976112"
(),{2: 0},{},"0,2095379818594104"
(),{2: 0},{3: 0},"0,5675112870159309"
(),{2: 0},{4: 1},"0,7716124287552859"
(),{2: 0},{5: 2},"0,8323765606374304"
(),{2: 0},{6: 3},"0,7659907937805144"
(),{2: 0},"{3: 0, 4: 1}","0,7911162414384757"
(),{2: 0},"{3: 0, 5: 2}","0,35558223289315727"
(),{2: 0},"{3: 0, 6: 3}","0,7910762932175158"
(),{2: 0},"{4: 1, 5: 2}","0,32614677415564913"
(),{2: 0},"{4: 1, 6: 3}","0,7960929184989336"
(),{2: 0},"{5: 2, 6: 3}","0,8793426098689257"
(),{2: 0},"{3: 0, 4: 1, 5: 2}","0,8246150227189782"
(),{2: 0},"{3: 0, 4: 1, 6: 3}","0,8097431499523686"
(),{2: 0},"{3: 0, 5: 2, 6: 3}","0,8092432379650426"
(),{2: 0},"{4: 1, 5: 2, 6: 3}","0,8379048270025714"
(),{2: 0},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8268455586225621"
(),{3: 1},{},"0,17402798439950143"
(),{3: 1},{3: 0},"0,6319711746209024"
(),{3: 1},{4: 1},"0,7326746083048604"
(),{3: 1},{5: 2},"0,7833769739032898"
(),{3: 1},{6: 3},"0,7971463757381362"
(),{3: 1},"{3: 0, 4: 1}","0,6269320513828125"
(),{3: 1},"{3: 0, 5: 2}","0,14451551764984602"
(),{3: 1},"{3: 0, 6: 3}","0,8337051528617401"
(),{3: 1},"{4: 1, 5: 2}","0,7652983636984337"
(),{3: 1},"{4: 1, 6: 3}","0,7277507716213174"
(),{3: 1},"{5: 2, 6: 3}","0,7443012925771547"
(),{3: 1},"{3: 0, 4: 1, 5: 2}","0,7472145648837378"
(),{3: 1},"{3: 0, 4: 1, 6: 3}","0,7987443233139659"
(),{3: 1},"{3: 0, 5: 2, 6: 3}","0,7937467044233962"
(),{3: 1},"{4: 1, 5: 2, 6: 3}","0,7997624308430392"
(),{3: 1},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8461965733950043"
(),{4: 2},{},"0,32305860436531947"
(),{4: 2},{3: 0},"0,6920014321518081"
(),{4: 2},{4: 1},"0,7763539282990084"
(),{4: 2},{5: 2},"0,7436773752563227"
(),{4: 2},{6: 3},"0,6827019281252691"
(),{4: 2},"{3: 0, 4: 1}","0,7548604903868062"
(),{4: 2},"{3: 0, 5: 2}","0,7727282161737866"
(),{4: 2},"{3: 0, 6: 3}","0,7827669225184753"
(),{4: 2},"{4: 1, 5: 2}","0,7678276109855057"
(),{4: 2},"{4: 1, 6: 3}","0,739816077380234"
(),{4: 2},"{5: 2, 6: 3}","0,7491633178851224"
(),{4: 2},"{3: 0, 4: 1, 5: 2}","0,8193769998117825"
(),{4: 2},"{3: 0, 4: 1, 6: 3}","0,8287171558600129"
(),{4: 2},"{3: 0, 5: 2, 6: 3}","0,8062995150213196"
(),{4: 2},"{4: 1, 5: 2, 6: 3}","0,7633125020343066"
(),{4: 2},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8143401043401044"
(),{5: 3},{},"0,6817586850286889"
(),{5: 3},{3: 0},"0,7519786376088897"
(),{5: 3},{4: 1},"0,2741908797417272"
(),{5: 3},{5: 2},"0,7082036956178833"
(),{5: 3},{6: 3},"0,7185762632745945"
(),{5: 3},"{3: 0, 4: 1}","0,8375805065909484"
(),{5: 3},"{3: 0, 5: 2}","0,3015334947538338"
(),{5: 3},"{3: 0, 6: 3}","0,4222748990703359"
(),{5: 3},"{4: 1, 5: 2}","0,7304796790511077"
(),{5: 3},"{4: 1, 6: 3}","0,7676944829648965"
(),{5: 3},"{5: 2, 6: 3}","0,7882505091807417"
(),{5: 3},"{3: 0, 4: 1, 5: 2}","0,8606719367588934"
(),{5: 3},"{3: 0, 4: 1, 6: 3}","0,8121925693354266"
(),{5: 3},"{3: 0, 5: 2, 6: 3}","0,8478096782444607"
(),{5: 3},"{4: 1, 5: 2, 6: 3}","0,79187420378188"
(),{5: 3},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8573202160158682"
(),{6: 4},{},"0,054285714285714284"
(),{6: 4},{3: 0},"0,7841086232063675"
(),{6: 4},{4: 1},"0,7449817608202701"
(),{6: 4},{5: 2},"0,711439715611731"
(),{6: 4},{6: 3},"0,7935732293078469"
(),{6: 4},"{3: 0, 4: 1}","0,841247198916372"
(),{6: 4},"{3: 0, 5: 2}","0,8200113921166554"
(),{6: 4},"{3: 0, 6: 3}","0,832818025963806"
(),{6: 4},"{4: 1, 5: 2}","0,805256648113791"
(),{6: 4},"{4: 1, 6: 3}","0,8057601129029701"
(),{6: 4},"{5: 2, 6: 3}","0,8178743961352658"
(),{6: 4},"{3: 0, 4: 1, 5: 2}","0,855873565082063"
(),{6: 4},"{3: 0, 4: 1, 6: 3}","0,8399670504933664"
(),{6: 4},"{3: 0, 5: 2, 6: 3}","0,7904110534774151"
(),{6: 4},"{4: 1, 5: 2, 6: 3}","0,8220199850275038"
(),{6: 4},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8087871377221477"
(),"{2: 0, 3: 1}",{},"0,38934240362811784"
(),"{2: 0, 3: 1}",{3: 0},"0,7343288216313834"
(),"{2: 0, 3: 1}",{4: 1},"0,1503857844283376"
(),"{2: 0, 3: 1}",{5: 2},"0,8078800898349769"
(),"{2: 0, 3: 1}",{6: 3},"0,7840787949483603"
